ts,deployment,replicas,maxbatchsize
2026-06-17T15:32:54Z,qa-granite-8b,6,36
2026-06-17T15:32:54Z,qa-llama-13b,1,75
2026-06-17T15:33:09Z,qa-granite-8b,11,31
2026-06-17T15:33:09Z,qa-llama-13b,2,70
2026-06-17T15:33:25Z,qa-granite-8b,11,31
2026-06-17T15:33:25Z,qa-llama-13b,2,70
2026-06-17T15:33:40Z,qa-granite-8b,7,33
2026-06-17T15:33:40Z,qa-llama-13b,2,83
2026-06-17T15:33:55Z,qa-granite-8b,7,33
2026-06-17T15:33:55Z,qa-llama-13b,2,83
2026-06-17T15:34:10Z,qa-granite-8b,8,34
2026-06-17T15:34:10Z,qa-llama-13b,2,76
2026-06-17T15:34:25Z,qa-granite-8b,8,34
2026-06-17T15:34:25Z,qa-llama-13b,2,76
2026-06-17T15:34:40Z,qa-granite-8b,7,37
2026-06-17T15:34:40Z,qa-llama-13b,3,71
2026-06-17T15:34:55Z,qa-granite-8b,7,37
2026-06-17T15:34:55Z,qa-llama-13b,3,71
2026-06-17T15:35:10Z,qa-granite-8b,11,36
2026-06-17T15:35:10Z,qa-llama-13b,3,67
2026-06-17T15:35:25Z,qa-granite-8b,11,36
2026-06-17T15:35:25Z,qa-llama-13b,3,67
2026-06-17T15:35:40Z,qa-granite-8b,9,35
2026-06-17T15:35:40Z,qa-llama-13b,3,73
2026-06-17T15:35:55Z,qa-granite-8b,9,35
2026-06-17T15:35:55Z,qa-llama-13b,3,73
2026-06-17T15:36:11Z,qa-granite-8b,10,34
2026-06-17T15:36:11Z,qa-llama-13b,3,70
2026-06-17T15:36:26Z,qa-granite-8b,10,34
2026-06-17T15:36:26Z,qa-llama-13b,3,70
2026-06-17T15:36:41Z,qa-granite-8b,9,34
2026-06-17T15:36:41Z,qa-llama-13b,4,68
2026-06-17T15:36:56Z,qa-granite-8b,9,34
2026-06-17T15:36:56Z,qa-llama-13b,4,68
2026-06-17T15:37:11Z,qa-granite-8b,8,37
2026-06-17T15:37:11Z,qa-llama-13b,3,68
2026-06-17T15:37:26Z,qa-granite-8b,8,37
2026-06-17T15:37:26Z,qa-llama-13b,3,68
2026-06-17T15:37:41Z,qa-granite-8b,11,34
2026-06-17T15:37:41Z,qa-llama-13b,2,72
2026-06-17T15:37:56Z,qa-granite-8b,11,34
2026-06-17T15:37:56Z,qa-llama-13b,2,72
2026-06-17T15:38:11Z,qa-granite-8b,10,37
2026-06-17T15:38:11Z,qa-llama-13b,2,76
2026-06-17T15:38:27Z,qa-granite-8b,10,37
2026-06-17T15:38:27Z,qa-llama-13b,2,76
2026-06-17T15:38:42Z,qa-granite-8b,10,33
2026-06-17T15:38:42Z,qa-llama-13b,3,73
2026-06-17T15:38:57Z,qa-granite-8b,10,33
2026-06-17T15:38:57Z,qa-llama-13b,3,73
2026-06-17T15:39:12Z,qa-granite-8b,12,36
2026-06-17T15:39:12Z,qa-llama-13b,3,73
2026-06-17T15:39:27Z,qa-granite-8b,12,36
2026-06-17T15:39:27Z,qa-llama-13b,3,73
2026-06-17T15:39:42Z,qa-granite-8b,9,36
2026-06-17T15:39:42Z,qa-llama-13b,3,65
2026-06-17T15:39:57Z,qa-granite-8b,9,36
2026-06-17T15:39:57Z,qa-llama-13b,3,65
2026-06-17T15:40:12Z,qa-granite-8b,11,36
2026-06-17T15:40:12Z,qa-llama-13b,2,79
2026-06-17T15:40:27Z,qa-granite-8b,11,36
2026-06-17T15:40:27Z,qa-llama-13b,2,79
2026-06-17T15:40:43Z,qa-granite-8b,11,35
2026-06-17T15:40:43Z,qa-llama-13b,2,75
2026-06-17T15:40:58Z,qa-granite-8b,11,35
2026-06-17T15:40:58Z,qa-llama-13b,2,75
2026-06-17T15:41:13Z,qa-granite-8b,10,34
2026-06-17T15:41:13Z,qa-llama-13b,3,74
2026-06-17T15:41:28Z,qa-granite-8b,10,34
2026-06-17T15:41:28Z,qa-llama-13b,3,74
2026-06-17T15:41:43Z,qa-granite-8b,7,34
2026-06-17T15:41:43Z,qa-llama-13b,3,64
2026-06-17T15:41:58Z,qa-granite-8b,7,34
2026-06-17T15:41:58Z,qa-llama-13b,3,64
2026-06-17T15:42:13Z,qa-granite-8b,8,35
2026-06-17T15:42:13Z,qa-llama-13b,2,72
2026-06-17T15:42:28Z,qa-granite-8b,8,35
2026-06-17T15:42:28Z,qa-llama-13b,2,72
2026-06-17T15:42:43Z,qa-granite-8b,7,33
2026-06-17T15:42:43Z,qa-llama-13b,2,77
2026-06-17T15:42:59Z,qa-granite-8b,7,33
2026-06-17T15:42:59Z,qa-llama-13b,2,77
2026-06-17T15:43:14Z,qa-granite-8b,5,37
2026-06-17T15:43:14Z,qa-llama-13b,1,76
2026-06-17T15:43:29Z,qa-granite-8b,5,37
2026-06-17T15:43:29Z,qa-llama-13b,1,76
2026-06-17T15:43:44Z,qa-granite-8b,6,36
2026-06-17T15:43:44Z,qa-llama-13b,2,77
2026-06-17T15:43:59Z,qa-granite-8b,6,36
2026-06-17T15:43:59Z,qa-llama-13b,2,77
2026-06-17T15:44:14Z,qa-granite-8b,5,36
2026-06-17T15:44:14Z,qa-llama-13b,1,69
2026-06-17T15:44:29Z,qa-granite-8b,5,36
2026-06-17T15:44:29Z,qa-llama-13b,1,69
2026-06-17T15:44:44Z,qa-granite-8b,4,36
2026-06-17T15:44:44Z,qa-llama-13b,1,73
2026-06-17T15:45:00Z,qa-granite-8b,4,36
2026-06-17T15:45:00Z,qa-llama-13b,1,73
2026-06-17T15:45:15Z,qa-granite-8b,3,36
2026-06-17T15:45:15Z,qa-llama-13b,1,70
2026-06-17T15:45:30Z,qa-granite-8b,3,36
2026-06-17T15:45:30Z,qa-llama-13b,1,70
2026-06-17T15:45:45Z,qa-granite-8b,3,33
2026-06-17T15:45:45Z,qa-llama-13b,1,70
