Running with control period = 120 sec
Running in dynamic mode = false
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /invoke                   --> github.com/llm-inferno/control-loop/pkg/controller.invoke (3 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :3300
21:07:35.705:	 collect: 21	 tune: 0	 optimize: 5	 actuate: 33	 total: 59 msec
21:09:35.776:	 collect: 22	 tune: 0	 optimize: 4	 actuate: 103	 total: 129 msec
21:11:35.839:	 collect: 45	 tune: 0	 optimize: 2	 actuate: 115	 total: 164 msec
21:13:35.801:	 collect: 40	 tune: 0	 optimize: 2	 actuate: 84	 total: 128 msec
21:15:35.726:	 collect: 19	 tune: 0	 optimize: 2	 actuate: 30	 total: 51 msec
21:17:35.791:	 collect: 18	 tune: 0	 optimize: 1	 actuate: 115	 total: 135 msec
21:19:35.726:	 collect: 18	 tune: 0	 optimize: 2	 actuate: 30	 total: 51 msec
21:21:35.747:	 collect: 21	 tune: 0	 optimize: 1	 actuate: 53	 total: 76 msec
21:23:35.730:	 collect: 19	 tune: 0	 optimize: 1	 actuate: 33	 total: 55 msec
21:25:35.718:	 collect: 21	 tune: 0	 optimize: 1	 actuate: 49	 total: 73 msec
21:27:35.774:	 collect: 21	 tune: 0	 optimize: 2	 actuate: 105	 total: 129 msec
21:29:35.710:	 collect: 22	 tune: 0	 optimize: 2	 actuate: 38	 total: 63 msec
21:31:35.818:	 collect: 127	 tune: 0	 optimize: 2	 actuate: 42	 total: 171 msec
21:33:35.708:	 collect: 21	 tune: 0	 optimize: 1	 actuate: 39	 total: 61 msec
21:35:35.729:	 collect: 21	 tune: 0	 optimize: 1	 actuate: 31	 total: 55 msec
21:37:35.753:	 collect: 19	 tune: 0	 optimize: 1	 actuate: 57	 total: 79 msec
21:39:35.801:	 collect: 117	 tune: 0	 optimize: 1	 actuate: 34	 total: 153 msec
21:41:35.813:	 collect: 19	 tune: 0	 optimize: 1	 actuate: 142	 total: 163 msec
21:43:35.807:	 collect: 20	 tune: 0	 optimize: 2	 actuate: 110	 total: 133 msec
21:45:35.730:	 collect: 18	 tune: 0	 optimize: 1	 actuate: 35	 total: 55 msec
21:47:35.720:	 collect: 15	 tune: 0	 optimize: 1	 actuate: 57	 total: 75 msec
21:49:35.711:	 collect: 19	 tune: 0	 optimize: 1	 actuate: 44	 total: 65 msec
21:51:35.700:	 collect: 19	 tune: 0	 optimize: 1	 actuate: 33	 total: 54 msec
21:53:35.774:	 collect: 20	 tune: 0	 optimize: 1	 actuate: 106	 total: 128 msec
21:55:35.770:	 collect: 18	 tune: 0	 optimize: 1	 actuate: 105	 total: 124 msec
21:57:35.772:	 collect: 20	 tune: 0	 optimize: 1	 actuate: 105	 total: 127 msec
21:59:35.704:	 collect: 17	 tune: 0	 optimize: 2	 actuate: 36	 total: 57 msec
