ts_utc | label_rpm(setpoint) | latest_effRPS | latest_throughput | completedAt
15:38:34 | 233.6304 | 2.0666666 | ? | 2026-06-23T15:38:33.598404204Z
15:38:51 | 226.6353 | 1.9 | ? | 2026-06-23T15:38:53.593859787Z
15:39:08 | 267.1282 | 2.288889 | ? | 2026-06-23T15:39:08.593161156Z
15:39:26 | 211.1132 | 2.5666666 | ? | 2026-06-23T15:39:28.593292421Z
15:39:43 | 238.2831 | 2.8555555 | ? | 2026-06-23T15:39:43.592934936Z
15:40:00 | 265.8780 | 3.2 | ? | 2026-06-23T15:39:58.59469201Z
15:40:16 | 246.9830 | 3.6666667 | ? | 2026-06-23T15:40:13.593777978Z
15:40:32 | 299.9155 | 4.1 | ? | 2026-06-23T15:40:28.594472071Z
15:40:48 | 225.4258 | 4.0444446 | ? | 2026-06-23T15:40:48.593573482Z
15:41:04 | 285.0246 | 4.288889 | ? | 2026-06-23T15:41:03.592809102Z
15:41:20 | 371.2349 | 4.6 | ? | 2026-06-23T15:41:18.592777504Z
15:41:36 | 352.0851 | 5.0666666 | ? | 2026-06-23T15:41:33.593922067Z
15:41:51 | 513.9177 | 5.322222 | ? | 2026-06-23T15:41:48.592920855Z
15:42:07 | 486.6239 | 6.1 | ? | 2026-06-23T15:42:08.589717806Z
15:42:23 | 570.6389 | 6.811111 | ? | 2026-06-23T15:42:23.595059344Z
15:42:39 | 625.7312 | 7.788889 | ? | 2026-06-23T15:42:38.593880264Z
15:42:55 | 616.6738 | 8.566667 | ? | 2026-06-23T15:42:53.593727023Z
15:43:11 | 644.6087 | 8.144444 | ? | 2026-06-23T15:43:08.593643583Z
15:43:28 | 703.2433 | 7.177778 | ? | 2026-06-23T15:43:28.593139145Z
15:43:43 | 675.8678 | 6.411111 | ? | 2026-06-23T15:43:43.590515996Z
15:44:39 | 917.1874 | 4.322222 | ? | 2026-06-23T15:44:38.59323399Z
15:44:55 | 904.0964 | 4.3555555 | ? | 2026-06-23T15:44:53.592005551Z
15:45:12 | 1043.0260 | 4.6444445 | ? | 2026-06-23T15:45:08.593386951Z
15:45:28 | 1095.4156 | 4.8 | ? | 2026-06-23T15:45:28.591751785Z
15:45:44 | 1157.5272 | 4.677778 | ? | 2026-06-23T15:45:43.593231234Z
15:46:00 | 1027.2749 | 4.5555553 | ? | 2026-06-23T15:45:58.591906847Z
15:46:16 | 1056.8977 | 4.5333333 | ? | 2026-06-23T15:46:13.593174069Z
15:46:32 | 1340.7439 | 4.4666667 | ? | 2026-06-23T15:46:28.594272267Z
15:46:48 | 1288.3457 | 4.733333 | ? | 2026-06-23T15:46:48.592888815Z
15:47:04 | 1278.8145 | 4.7222223 | ? | 2026-06-23T15:47:03.593480796Z
15:47:20 | 1157.0470 | 4.677778 | ? | 2026-06-23T15:47:18.591673678Z
15:47:36 | 1218.9684 | 4.4333334 | ? | 2026-06-23T15:47:33.593651843Z
15:47:52 | 1026.1612 | 4.4444447 | ? | 2026-06-23T15:47:48.594463406Z
15:48:08 | 1346.4226 | 4.211111 | ? | 2026-06-23T15:48:08.592851865Z
15:48:24 | 1135.4205 | 3.8666666 | ? | 2026-06-23T15:48:23.593676909Z
15:48:40 | 1462.8055 | 3.7777777 | ? | 2026-06-23T15:48:38.592416028Z
15:48:56 | 1354.8170 | 3.8555555 | ? | 2026-06-23T15:48:53.592655225Z
15:49:12 | 1219.5396 | 4.0555553 | ? | 2026-06-23T15:49:08.592615508Z
15:49:28 | 1076.4892 | 4.1 | ? | 2026-06-23T15:49:28.592029578Z
15:49:44 | 1318.9858 | 3.9444444 | ? | 2026-06-23T15:49:43.59284608Z
15:50:00 | 1486.4739 | 4 | ? | 2026-06-23T15:49:58.590757662Z
15:50:16 | 1283.3917 | 4.022222 | ? | 2026-06-23T15:50:13.595130468Z
15:50:32 | 1261.5942 | 4.2 | ? | 2026-06-23T15:50:33.593539487Z
15:50:48 | 1156.7611 | 4.2555556 | ? | 2026-06-23T15:50:48.592784199Z
15:51:04 | 1139.5382 | 4.4 | ? | 2026-06-23T15:51:03.594263268Z
15:51:21 | 1173.7840 | 4.4444447 | ? | 2026-06-23T15:51:18.592652426Z
15:51:38 | 1276.1871 | 4.3777776 | ? | 2026-06-23T15:51:38.594019909Z
15:51:54 | 1149.1399 | 4.0333333 | ? | 2026-06-23T15:51:53.59304774Z
15:52:10 | 1293.3811 | 3.9555554 | ? | 2026-06-23T15:52:08.593373013Z
15:52:26 | 1061.1492 | 3.9777777 | ? | 2026-06-23T15:52:23.593041149Z
15:52:41 | 1302.3841 | 4.0444446 | ? | 2026-06-23T15:52:38.594539161Z
15:52:57 | 1267.4508 | 4.1222224 | ? | 2026-06-23T15:52:58.593636146Z
DONE 15:53:13
