Running with control period = 30 sec
Running in dynamic mode = false
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /invoke                   --> github.com/llm-inferno/control-loop/pkg/controller.invoke (3 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :3300
15:26:48.120: skipping cycle ... reason=optimize failed to find solution: 404 Not Found
15:27:18.126: skipping cycle ... reason=optimize failed to find solution: 404 Not Found
15:27:48.935: tuner /tune warning (continuing with current model data): tuner /tune failed: 422 Unprocessable Entity
15:27:48.937: skipping cycle ... reason=optimize failed to find solution: 404 Not Found
15:28:18.919: tuner /tune warning (continuing with current model data): tuner /tune failed: 422 Unprocessable Entity
15:28:18.921: skipping cycle ... reason=optimize failed to find solution: 404 Not Found
15:28:48.933:	 collect: 816	 tune: 15	 (warm-up in progress — skipping optimize+actuate)
15:29:18.942:	 collect: 815	 tune: 2	 (warm-up in progress — skipping optimize+actuate)
15:29:48.956:	 collect: 811	 tune: 4	 optimize: 1	 actuate: 16	 total: 834 msec
15:30:18.189:	 collect: 73	 tune: 2	 optimize: 1	 actuate: 12	 total: 90 msec
15:30:48.208:	 collect: 72	 tune: 2	 optimize: 1	 actuate: 13	 total: 89 msec
15:31:18.216:	 collect: 72	 tune: 2	 optimize: 1	 actuate: 15	 total: 91 msec
15:31:48.545:	 collect: 417	 tune: 1	 optimize: 1	 actuate: 14	 total: 435 msec
15:32:18.172:	 collect: 57	 tune: 2	 optimize: 0	 actuate: 9	 total: 70 msec
15:32:48.193:	 collect: 56	 tune: 1	 optimize: 0	 actuate: 10	 total: 69 msec
15:33:18.193:	 collect: 62	 tune: 1	 optimize: 1	 actuate: 12	 total: 77 msec
15:33:48.189:	 collect: 58	 tune: 1	 optimize: 1	 actuate: 11	 total: 73 msec
15:34:18.531:	 collect: 413	 tune: 3	 optimize: 0	 actuate: 10	 total: 427 msec
15:34:49.745:	 collect: 1616	 tune: 1	 optimize: 1	 actuate: 10	 total: 1629 msec
15:35:20.181:	 collect: 2025	 tune: 3	 optimize: 1	 actuate: 21	 total: 2052 msec
15:35:50.163:	 collect: 2019	 tune: 3	 optimize: 1	 actuate: 21	 total: 2046 msec
15:36:20.133:	 collect: 2007	 tune: 4	 optimize: 1	 actuate: 13	 total: 2026 msec
15:36:50.130:	 collect: 2016	 tune: 1	 optimize: 0	 actuate: 9	 total: 2028 msec
